TIME,GEO,UNIT,AGE,SEX,ISCED11,Value,Flag and Footnotes
2012,European Union - 27 countries (from 2020),Number,Total,Total,Bachelor's or equivalent level,:,
2012,European Union - 28 countries (2013-2020),Number,Total,Total,Bachelor's or equivalent level,:,
2012,Belgium,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Bulgaria,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Czechia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Denmark,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Germany (until 1990 former territory of the FRG),Number,Total,Total,Bachelor's or equivalent level,:,
2012,Estonia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Ireland,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Greece,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Spain,Number,Total,Total,Bachelor's or equivalent level,:,
2012,France,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Croatia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Italy,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Cyprus,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Latvia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Lithuania,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Luxembourg,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Hungary,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Malta,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Netherlands,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Austria,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Poland,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Portugal,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Romania,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Slovenia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Slovakia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Finland,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Sweden,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Iceland,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Liechtenstein,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Norway,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Switzerland,Number,Total,Total,Bachelor's or equivalent level,:,
2012,United Kingdom,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Montenegro,Number,Total,Total,Bachelor's or equivalent level,:,
2012,North Macedonia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Serbia,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Turkey,Number,Total,Total,Bachelor's or equivalent level,:,
2012,Bosnia and Herzegovina,Number,Total,Total,Bachelor's or equivalent level,:,
2013,European Union - 27 countries (from 2020),Number,Total,Total,Bachelor's or equivalent level,"2,016,238",
2013,European Union - 28 countries (2013-2020),Number,Total,Total,Bachelor's or equivalent level,"2,418,920",
2013,Belgium,Number,Total,Total,Bachelor's or equivalent level,"65,947",
2013,Bulgaria,Number,Total,Total,Bachelor's or equivalent level,"38,303",
2013,Czechia,Number,Total,Total,Bachelor's or equivalent level,"58,270",
2013,Denmark,Number,Total,Total,Bachelor's or equivalent level,"38,806",
2013,Germany (until 1990 former territory of the FRG),Number,Total,Total,Bachelor's or equivalent level,"283,959",
