Row Labels,Average of EduTrust 2008,Average of EduTrust 2018
Austria,1.279401768,1.222996516
Bulgaria,1.652266289,1.635658915
Croatia,1.378595318,1.421276596
Czechia,1.414620217,1.4045677
Denmark,1.125168237,1.089815557
Estonia,1.077656676,0.989316239
Finland,0.91967509,0.720238095
France,1.121232418,1.194748359
Germany,1.555831266,1.425587467
Hungary,1.484259879,1.517064846
Iceland,0.7725,1.06763285
Italy,1.407660739,1.308797127
Lithuania,1.46398141,1.353211009
Monteneg,1.15037087,1.518072289
Netherla,1.359395532,1.168768186
Norway,1.215341959,0.979411765
Poland,1.161924119,0.996434938
Portugal,1.199322034,1.034055728
Romania,1.02878684,0.982019364
Serbia,1.44040404,1.424242424
Slovakia,1.137073864,1.181669394
Slovenia,1.041635688,1.078723404
Spain,1.161358811,1.099447514
Sweden,1.331771321,1.216524217
Switzerland,0.996758509,0.996852046
United Kingdom,1.150793651,1.176024279
