Country,GDPCAP18,
Austria,"37,720",
Belgium,"35,520",
Bulgaria,"6,330",
Croatia,"12,200",
Czechia,"17,990",
Denmark,"48,450",
Estonia,"14,970",
Finland,"36,740",
France,"32,820",
Germany ,"35,690",
Hungary,"12,690",
Iceland,"39,090",
Italy,"27,030",
Lithuania,"13,400",
Montenegro,"6,230",
Netherlands,"41,450",
North Macedonia,"4,130",
Norway,"69,440",
Poland,"12,420",
Portugal,"18,190",
Romania,"8,700",
Serbia,"5,200",
Slovakia,"15,510",
Slovenia,"20,240",
Spain,"24,880",
Sweden,"43,760",
Switzerland,"62,500",
United Kingdom,"32,640",
,,
,,
,,
,,
,,
,,
,,
